"id","distrito","sexo","edad_rango","nse","voto_presidente","voto_diputado","voto_senado","peso"
146,"Miraflores","Mujer","35-44","D/E","Rafael López Aliaga","N.S/N.O","Ricardo Ramírez del Villar",1
147,"Yura","Hombre","25-34","A/B","Roberto Sánchez Palomino","N.S/N.O","N.S/N.O",1
148,"La Joya","Hombre","25-34","C","N.S/N.O","N.S/N.O","Sergio Davila Vizcarra",1
149,"Alto Selva Alegre","Mujer","25-34","D/E","N.S/N.O","N.S/N.O","Sergio Davila Vizcarra",1
150,"Sachaca","Mujer","18-24","D/E","José Luna Gálvez","Marleny Arminta Valencia","N.S/N.O",1
151,"Mariano Melgar","Hombre","18-24","D/E","Rafael López Aliaga","Nicolas Talavera Benavente","N.S/N.O",1
152,"Alto Selva Alegre","Hombre","18-24","A/B","N.S/N.O","N.S/N.O","N.S/N.O",1
153,"Cayma","Mujer","25-34","C","Pablo López Chau","N.S/N.O","N.S/N.O",1
154,"Miraflores","Hombre","25-34","D/E","Pablo López Chau","Otros","A. Elmer Arenas Pérez",1
155,"Sachaca","Mujer","35-44","D/E","Pablo López Chau","N.S/N.O","N.S/N.O",1
156,"Paucarpata","Mujer","18-24","A/B","N.S/N.O","Otros","Gustavo Rondón Fudinaga",1
157,"Paucarpata","Mujer","45-54","D/E","Pablo López Chau","N.S/N.O","N.S/N.O",1
158,"Mariano Melgar","Mujer","18-24","C","Cesar Acuña Peralta","Mauricio Alosilla Chambi","N.S/N.O",1
159,"Cerro Colorado","Hombre","45-54","D/E","N.S/N.O","N.S/N.O","N.S/N.O",1
160,"Cerro Colorado","Hombre","18-24","D/E","Otros","Esdras Medina Minaya","Sergio Davila Vizcarra",1
161,"Paucarpata","Mujer","25-34","C","Pablo López Chau","N.S/N.O","N.S/N.O",1
162,"Mariano Melgar","Hombre","35-44","D/E","N.S/N.O","Cosme Huaman Sánchez","Sergio Davila Vizcarra",1
163,"Cerro Colorado","Mujer","35-44","D/E","N.S/N.O","N.S/N.O","N.S/N.O",1
164,"Arequipa Cercado","Hombre","25-34","D/E","Rafael López Aliaga","Mauricio Alosilla Chambi","A. Elmer Arenas Pérez",1
165,"Cerro Colorado","Hombre","35-44","A/B","Otros","N.S/N.O","Otros",1
166,"Mariano Melgar","Mujer","25-34","D/E","N.S/N.O","N.S/N.O","N.S/N.O",1
167,"José Luis Bustamante y Rivero","Hombre","45-54","D/E","Pablo López Chau","Marleny Arminta Valencia","N.S/N.O",1
168,"Mariano Melgar","Hombre","25-34","D/E","Wolfgang Grozo Costa","Otros","Yobana Huisa Vargas",1
169,"Yura","Hombre","18-24","D/E","N.S/N.O","N.S/N.O","Ricardo Ramírez del Villar",1
170,"Cerro Colorado","Mujer","35-44","D/E","Rafael López Aliaga","Esdras Medina Minaya","Ricardo Ramírez del Villar",1
171,"Arequipa Cercado","Mujer","18-24","D/E","Keiko Fujimori Higuchi","N.S/N.O","N.S/N.O",1
172,"Sachaca","Hombre","25-34","C","N.S/N.O","Amalia Palomino Pacheco","Gustavo Rondón Fudinaga",1
173,"La Joya","Hombre","25-34","C","Pablo López Chau","Otros","N.S/N.O",1
174,"Alto Selva Alegre","Hombre","25-34","D/E","Otros","Otros","N.S/N.O",1
175,"Arequipa Cercado","Mujer","25-34","C","N.S/N.O","N.S/N.O","Otros",1
176,"Cayma","Hombre","55-70","C","Rafael López Aliaga","Nicolas Talavera Benavente","N.S/N.O",1
177,"Mariano Melgar","Hombre","55-70","D/E","N.S/N.O","N.S/N.O","Gustavo Rondón Fudinaga",1
178,"Miraflores","Mujer","35-44","C","José Luna Gálvez","N.S/N.O","N.S/N.O",1
179,"Cayma","Mujer","45-54","D/E","N.S/N.O","N.S/N.O","Otros",1
180,"Miraflores","Mujer","35-44","C","Cesar Acuña Peralta","Adolfo Donayre Sarolli","N.S/N.O",1
181,"Paucarpata","Mujer","45-54","D/E","Cesar Acuña Peralta","N.S/N.O","Sergio Davila Vizcarra",1
182,"Mariano Melgar","Hombre","25-34","D/E","Roberto Sánchez Palomino","Guido del Carpio Rodriguez","N.S/N.O",1
183,"Mariano Melgar","Mujer","18-24","D/E","N.S/N.O","N.S/N.O","N.S/N.O",1
184,"Yanahuara","Hombre","25-34","A/B","N.S/N.O","N.S/N.O","N.S/N.O",1
185,"Paucarpata","Hombre","18-24","C","N.S/N.O","N.S/N.O","Gustavo Rondón Fudinaga",1
186,"Cayma","Hombre","18-24","D/E","Otros","Otros","N.S/N.O",1
187,"Arequipa Cercado","Mujer","55-70","D/E","N.S/N.O","N.S/N.O","Otros",1
188,"Cerro Colorado","Mujer","35-44","C","N.S/N.O","Adolfo Donayre Sarolli","A. Elmer Arenas Pérez",1
189,"Paucarpata","Mujer","45-54","D/E","Rafael López Aliaga","Adolfo Donayre Sarolli","N.S/N.O",1
190,"Arequipa Cercado","Mujer","55-70","D/E","N.S/N.O","Otros","Otros",1
191,"Cerro Colorado","Hombre","35-44","C","Otros","Cosme Huaman Sánchez","Ricardo Ramírez del Villar",1
192,"Yanahuara","Mujer","25-34","D/E","N.S/N.O","N.S/N.O","Sergio Davila Vizcarra",1
193,"Paucarpata","Mujer","18-24","C","N.S/N.O","Otros","Otros",1
194,"José Luis Bustamante y Rivero","Hombre","35-44","D/E","Rafael López Aliaga","N.S/N.O","A. Elmer Arenas Pérez",1
195,"José Luis Bustamante y Rivero","Mujer","35-44","D/E","Keiko Fujimori Higuchi","Nicolas Talavera Benavente","N.S/N.O",1
196,"Sachaca","Mujer","45-54","D/E","Otros","N.S/N.O","N.S/N.O",1
197,"Socabaya","Hombre","25-34","D/E","N.S/N.O","Nicolas Talavera Benavente","Gustavo Rondón Fudinaga",1
198,"Mariano Melgar","Mujer","25-34","D/E","Keiko Fujimori Higuchi","Otros","N.S/N.O",1
199,"José Luis Bustamante y Rivero","Mujer","25-34","D/E","Otros","N.S/N.O","Ricardo Ramírez del Villar",1
200,"José Luis Bustamante y Rivero","Hombre","18-24","D/E","Wolfgang Grozo Costa","Cosme Huaman Sánchez","N.S/N.O",1
201,"Cerro Colorado","Mujer","25-34","C","Cesar Acuña Peralta","Mauricio Alosilla Chambi","Yobana Huisa Vargas",1
202,"Socabaya","Mujer","25-34","D/E","Pablo López Chau","Nicolas Talavera Benavente","Yobana Huisa Vargas",1
203,"Arequipa Cercado","Mujer","45-54","C","Wolfgang Grozo Costa","Otros","Gustavo Rondón Fudinaga",1
204,"Paucarpata","Mujer","55-70","C","Otros","Amalia Palomino Pacheco","N.S/N.O",1
205,"Cayma","Mujer","45-54","D/E","Pablo López Chau","N.S/N.O","N.S/N.O",1
206,"Paucarpata","Mujer","45-54","C","Otros","Guido del Carpio Rodriguez","N.S/N.O",1
207,"Cerro Colorado","Hombre","35-44","C","Keiko Fujimori Higuchi","N.S/N.O","N.S/N.O",1
208,"Alto Selva Alegre","Hombre","25-34","C","N.S/N.O","N.S/N.O","N.S/N.O",1
209,"Paucarpata","Hombre","55-70","D/E","Otros","N.S/N.O","N.S/N.O",1
210,"Cayma","Hombre","25-34","C","N.S/N.O","N.S/N.O","N.S/N.O",1
211,"Cerro Colorado","Hombre","25-34","D/E","N.S/N.O","N.S/N.O","Otros",1
212,"Cayma","Hombre","35-44","C","Rafael López Aliaga","Otros","Ricardo Ramírez del Villar",1
213,"Cerro Colorado","Mujer","35-44","C","Cesar Acuña Peralta","N.S/N.O","Yobana Huisa Vargas",1
214,"Paucarpata","Hombre","25-34","A/B","Roberto Sánchez Palomino","Otros","N.S/N.O",1
215,"Arequipa Cercado","Mujer","55-70","D/E","Rafael López Aliaga","Nicolas Talavera Benavente","Gustavo Rondón Fudinaga",1
216,"Cerro Colorado","Hombre","25-34","C","Carlos Álvarez Loayza","Adolfo Donayre Sarolli","N.S/N.O",1
217,"Alto Selva Alegre","Mujer","35-44","C","José Luna Gálvez","N.S/N.O","Otros",1
218,"Alto Selva Alegre","Mujer","18-24","A/B","Otros","Guido del Carpio Rodriguez","N.S/N.O",1
219,"Sachaca","Mujer","35-44","D/E","Pablo López Chau","N.S/N.O","Ricardo Ramírez del Villar",1
220,"José Luis Bustamante y Rivero","Mujer","25-34","D/E","N.S/N.O","Cosme Huaman Sánchez","N.S/N.O",1
221,"Paucarpata","Mujer","45-54","D/E","N.S/N.O","Marleny Arminta Valencia","Otros",1
222,"Miraflores","Mujer","18-24","C","Otros","Marleny Arminta Valencia","N.S/N.O",1
223,"Cerro Colorado","Mujer","25-34","A/B","Cesar Acuña Peralta","N.S/N.O","Gustavo Rondón Fudinaga",1
224,"Cerro Colorado","Mujer","25-34","D/E","N.S/N.O","Otros","A. Elmer Arenas Pérez",1
225,"Cerro Colorado","Hombre","45-54","A/B","Cesar Acuña Peralta","Marleny Arminta Valencia","N.S/N.O",1
226,"Cayma","Mujer","35-44","C","N.S/N.O","N.S/N.O","N.S/N.O",1
227,"Alto Selva Alegre","Hombre","35-44","C","N.S/N.O","Marleny Arminta Valencia","N.S/N.O",1
228,"Alto Selva Alegre","Mujer","35-44","D/E","Carlos Álvarez Loayza","N.S/N.O","N.S/N.O",1
229,"Miraflores","Mujer","55-70","D/E","N.S/N.O","Otros","N.S/N.O",1
230,"Alto Selva Alegre","Mujer","45-54","C","Rafael López Aliaga","Otros","Gustavo Rondón Fudinaga",1
231,"Cerro Colorado","Hombre","55-70","D/E","N.S/N.O","Adolfo Donayre Sarolli","N.S/N.O",1
232,"Miraflores","Hombre","25-34","D/E","Keiko Fujimori Higuchi","Otros","N.S/N.O",1
233,"Alto Selva Alegre","Hombre","45-54","D/E","N.S/N.O","N.S/N.O","N.S/N.O",1
234,"Cerro Colorado","Hombre","45-54","C","Otros","N.S/N.O","N.S/N.O",1
235,"Arequipa Cercado","Hombre","55-70","D/E","Pablo López Chau","N.S/N.O","Sergio Davila Vizcarra",1
236,"Miraflores","Hombre","55-70","C","N.S/N.O","N.S/N.O","N.S/N.O",1
237,"Cerro Colorado","Hombre","25-34","C","Wolfgang Grozo Costa","Otros","Ricardo Ramírez del Villar",1
238,"Arequipa Cercado","Mujer","18-24","A/B","N.S/N.O","Otros","Otros",1
239,"Cerro Colorado","Mujer","45-54","A/B","Otros","Marleny Arminta Valencia","Ricardo Ramírez del Villar",1
240,"Cayma","Mujer","45-54","D/E","N.S/N.O","Nicolas Talavera Benavente","N.S/N.O",1
241,"Cayma","Hombre","25-34","C","Otros","Nicolas Talavera Benavente","Sergio Davila Vizcarra",1
242,"Socabaya","Mujer","25-34","D/E","Otros","Otros","A. Elmer Arenas Pérez",1
243,"Sachaca","Hombre","18-24","A/B","N.S/N.O","Otros","N.S/N.O",1
244,"Paucarpata","Hombre","35-44","D/E","Rafael López Aliaga","Otros","Otros",1
245,"Miraflores","Hombre","45-54","C","N.S/N.O","N.S/N.O","N.S/N.O",1
246,"Cerro Colorado","Mujer","35-44","C","N.S/N.O","N.S/N.O","N.S/N.O",1
247,"Arequipa Cercado","Hombre","25-34","D/E","Pablo López Chau","Marleny Arminta Valencia","Sergio Davila Vizcarra",1
248,"Cayma","Hombre","35-44","C","Otros","Guido del Carpio Rodriguez","Otros",1
249,"Yanahuara","Hombre","18-24","D/E","N.S/N.O","N.S/N.O","N.S/N.O",1
250,"Paucarpata","Hombre","35-44","D/E","Pablo López Chau","N.S/N.O","Otros",1
251,"Cayma","Mujer","18-24","D/E","N.S/N.O","Esdras Medina Minaya","Sergio Davila Vizcarra",1
252,"Arequipa Cercado","Mujer","18-24","D/E","Cesar Acuña Peralta","N.S/N.O","N.S/N.O",1
253,"Cayma","Mujer","25-34","D/E","Keiko Fujimori Higuchi","Adolfo Donayre Sarolli","N.S/N.O",1
254,"Cerro Colorado","Hombre","18-24","D/E","N.S/N.O","N.S/N.O","A. Elmer Arenas Pérez",1
255,"Socabaya","Hombre","35-44","C","Otros","N.S/N.O","Ricardo Ramírez del Villar",1
256,"Paucarpata","Mujer","25-34","D/E","Keiko Fujimori Higuchi","Otros","Sergio Davila Vizcarra",1
257,"Cayma","Hombre","45-54","D/E","Rafael López Aliaga","Otros","Ricardo Ramírez del Villar",1
258,"Paucarpata","Mujer","18-24","C","José Luna Gálvez","N.S/N.O","N.S/N.O",1
259,"Yura","Hombre","25-34","D/E","N.S/N.O","Otros","Otros",1
260,"Paucarpata","Hombre","25-34","C","Wolfgang Grozo Costa","N.S/N.O","N.S/N.O",1
261,"Socabaya","Hombre","55-70","D/E","N.S/N.O","Guido del Carpio Rodriguez","N.S/N.O",1
262,"Cayma","Mujer","55-70","C","José Luna Gálvez","N.S/N.O","N.S/N.O",1
